,url,title,rating,numOfRatings,popularity,numOfAwards,parentalRating,yearMade,genre,language,length,gross
2978,https://imdb.com/title/tt0322330,Freaky Friday,6.2,131000,2518,"[5, 11]",PG,2003,"['Comedy', 'Family', 'Fantasy']","['English', 'Mandarin']",97,160846332
2979,https://imdb.com/title/tt0112642,Casper,6.1,127000,704,"[4, 5]",PG,1995,"['Comedy', 'Family', 'Fantasy']",['English'],100,287928194
2980,https://imdb.com/title/tt0247638,The Princess Diaries,6.4,135000,1505,"[3, 11]",G,2001,"['Comedy', 'Family', 'Romance']","['English', 'Dutch', 'Italian']",115,165335153
2981,https://imdb.com/title/tt1396218,Mr. Popper's Penguins,6,92000,,"[1,3]",PG,2011,"['Comedy', 'Family', 'Fantasy']",['English'],94,187361754
2982,https://imdb.com/title/tt0366548,Happy Feet,6.4,177000,3817,"[20, 26]",PG,2006,"['Animation', 'Adventure', 'Comedy']",['English'],108,384336108
2983,https://imdb.com/title/tt0358082,Robots,6.3,139000,1787,"[2, 22]",PG,2005,"['Animation', 'Adventure', 'Comedy']","['English', 'Italian']",91,262511490
2984,https://imdb.com/title/tt0389790,Bee Movie,6.1,151000,2635,"[1,15]",PG,2007,"['Animation', 'Adventure', 'Comedy']",['English'],91,293514336
2985,https://imdb.com/title/tt0327084,Over the Hedge,6.7,167000,3771,"[7, 26]",PG,2006,"['Animation', 'Adventure', 'Comedy']",['English'],83,339795890
2986,https://imdb.com/title/tt0436339,G-Force,5.1,45000,,"[0, 0]",PG,2009,"['Animation', 'Action', 'Adventure']","['English', 'Spanish']",88,292817898
2987,https://imdb.com/title/tt2398241,Smurfs: The Lost Village,6,20000,,"[1,6]",PG,2017,"['Animation', 'Adventure', 'Comedy']",['English'],90,197183546
2988,https://imdb.com/title/tt2357291,Rio 2,6.3,85000,,"[2, 24]",G,2014,"['Animation', 'Adventure', 'Comedy']","['English', 'Portuguese']",101,498781117
2989,https://imdb.com/title/tt0342108,Beethoven's 5th,4.2,3200,,,G,2003,"['Comedy', 'Family', 'Adventure']",['English'],91,
2990,https://imdb.com/title/tt1176410,Beethoven's Big Break,4.5,2100,,"[0, 2]",PG,2008,"['Comedy', 'Family']",['English'],101,
2991,https://imdb.com/title/tt0294345,Beethoven's 4th,4.2,4000,,"[0, 0]",G,2001,"['Comedy', 'Family']",['English'],93,
2992,https://imdb.com/title/tt0206588,Beethoven's 3rd,4.2,5700,,"[0, 0]",G,2000,"['Family', 'Comedy']",['English'],99,
2993,https://imdb.com/title/tt0106375,Beethoven's 2nd,5,27000,4927,"[0, 5]",PG,1993,"['Comedy', 'Family', 'Romance']",['English'],89,118243066
2994,https://imdb.com/title/tt0103786,Beethoven,5.7,69000,1414,"[1,4]",PG,1992,"['Comedy', 'Drama', 'Family']",['English'],87,147214049
2995,https://imdb.com/title/tt1394329,Free Willy: Escape from Pirate's Cove,5.1,2200,,,PG,2010,"['Adventure', 'Drama', 'Family']",['English'],101,
2996,https://imdb.com/title/tt0119152,Free Willy 3: The Rescue,4.8,9900,,"[2, 2]",PG,1997,"['Adventure', 'Drama', 'Family']",['English'],86,3446539
2997,https://imdb.com/title/tt0120118,Shiloh,6.4,3300,,"[4, 0]",PG,1996,"['Drama', 'Family']",['English'],93,1007822
2998,https://imdb.com/title/tt1079448,Snow Buddies,5.2,3900,,"[0, 0]",G,2008,"['Adventure', 'Family']",['English'],87,
2999,https://imdb.com/title/tt0113114,Free Willy 2: The Adventure Home,5.1,18000,,"[2, 2]",PG,1995,"['Adventure', 'Drama', 'Family']","['English', 'Danish', 'Malay', 'Dutch', 'Indonesian', 'Finnish', 'Luxembourgish', 'French Sign Language']",95,30077111
3000,https://imdb.com/title/tt0304669,The Santa Clause 2,5.7,53000,,"[1,3]",G,2002,"['Comedy', 'Family', 'Fantasy']",['English'],104,172855065
3001,https://imdb.com/title/tt0452681,The Santa Clause 3: The Escape Clause,4.8,35000,,"[4, 9]",G,2006,"['Adventure', 'Comedy', 'Family']",['English'],92,110768122
3002,https://imdb.com/title/tt0388419,Christmas with the Kranks,5.4,46000,,"[3, 4]",PG,2004,"['Comedy', 'Family']","['English', 'Spanish']",99,96593018
3003,https://imdb.com/title/tt0398872,Clifford's Really Big Movie,5.5,909,,,G,2004,"['Animation', 'Adventure', 'Comedy']",['English'],74,3255426
3004,https://imdb.com/title/tt6714432,The Loud House Movie,6.4,962,4334,,PG,2021,"['Animation', 'Adventure', 'Comedy']",['English'],83,
3007,https://imdb.com/title/tt1430607,Arthur Christmas,7.1,55000,,"[3, 23]",PG,2011,"['Animation', 'Adventure', 'Comedy']",['English'],97,147421719
3008,https://imdb.com/title/tt11832046,PAW Patrol: The Movie,6.2,3700,189,"[0, 0]",G,2021,"['Animation', 'Adventure', 'Comedy']",['English'],86,117368471
3010,https://imdb.com/title/tt0790604,Deck the Halls,5,24000,,"[1,8]",PG,2006,"['Comedy', 'Family']","['English', 'German']",93,47232776
3011,https://imdb.com/title/tt0108037,The Sandlot,7.8,85000,883,"[0, 0]",PG,1993,"['Comedy', 'Drama', 'Family']",['English'],101,34348443
3012,https://imdb.com/title/tt0106611,Cool Runnings,7,98000,4157,"[2, 2]",PG,1993,"['Adventure', 'Comedy', 'Family']","['English', 'German', 'Russian']",98,154856263
3013,https://imdb.com/title/tt0148482,Monkey Business,3.5,163,,,G,1998,"['Adventure', 'Comedy', 'Crime']",['English'],90,
3014,https://imdb.com/title/tt0110366,The Little Rascals,6.3,47000,1566,"[2, 0]",PG,1994,"['Comedy', 'Family', 'Romance']",['English'],82,67308282
3019,https://imdb.com/title/tt2281069,A Christmas Story 2,3.3,2100,,"[0, 0]",PG,2012,"['Comedy', 'Family']",['English'],85,
3020,https://imdb.com/title/tt0060550,"It's the Great Pumpkin, Charlie Brown",8.2,18000,2673,"[0, 4]",Unrated,1966,"['Animation', 'Comedy', 'Family']",['English'],25,
3021,https://imdb.com/title/tt0063230,The Little Drummer Boy,7,5100,,,Unrated,1968,"['Animation', 'Drama', 'Family']",['English'],25,
3022,https://imdb.com/title/tt0059742,The Sound of Music,8,216000,1023,"[17, 13]",G,1965,"['Biography', 'Drama', 'Family']","['English', 'German']",172,159428329
3024,https://imdb.com/title/tt0089908,Return to Oz,6.7,26000,3010,"[0, 6]",PG,1985,"['Adventure', 'Family', 'Fantasy']",['English'],113,11137801
3025,https://imdb.com/title/tt5028340,Mary Poppins Returns,6.7,82000,1703,"[23, 111]",PG,2018,"['Comedy', 'Family', 'Fantasy']",['English'],130,349546142
3026,https://imdb.com/title/tt0062803,Chitty Chitty Bang Bang,6.9,43000,3701,"[0, 4]",G,1968,"['Adventure', 'Family', 'Fantasy']","['English', 'German', 'French', 'Latin']",144,7500445
3027,https://imdb.com/title/tt0066817,Bedknobs and Broomsticks,7.1,36000,4326,"[2, 5]",G,1971,"['Animation', 'Adventure', 'Comedy']","['English', 'German']",117,
3028,https://imdb.com/title/tt4302938,Kubo and the Two Strings,7.8,123000,,"[33, 67]",PG,2016,"['Animation', 'Action', 'Adventure']",['English'],101,76249438
3029,https://imdb.com/title/tt0432283,Fantastic Mr. Fox,7.9,213000,555,"[32, 63]",PG,2009,"['Animation', 'Adventure', 'Comedy']","['English', 'French']",87,46474181
3030,https://imdb.com/title/tt0787474,The Boxtrolls,6.8,56000,,"[8, 61]",PG,2014,"['Animation', 'Adventure', 'Comedy']",['English'],96,108255770
3031,https://imdb.com/title/tt0424095,Flushed Away,6.6,119000,4368,"[7, 15]",PG,2006,"['Animation', 'Adventure', 'Comedy']",['English'],85,178281554
3032,https://imdb.com/title/tt0397892,Bolt,6.8,199000,2997,"[1,32]",PG,2008,"['Animation', 'Adventure', 'Comedy']",['English'],96,309979994
3033,https://imdb.com/title/tt0396555,Meet the Robinsons,6.8,93000,3704,"[1,10]",G,2007,"['Animation', 'Adventure', 'Comedy']",['English'],95,169333034
3034,https://imdb.com/title/tt1001526,Megamind,7.2,241000,2211,"[2, 16]",PG,2010,"['Animation', 'Action', 'Comedy']",['English'],95,321885765
3035,https://imdb.com/title/tt1446192,Rise of the Guardians,7.3,164000,4205,"[14, 32]",PG,2012,"['Animation', 'Action', 'Adventure']","['English', 'French']",97,306941670
3036,https://imdb.com/title/tt2262227,The Book of Life,7.3,68000,2319,"[3, 29]",PG,2014,"['Animation', 'Adventure', 'Comedy']","['English', 'Spanish']",95,99783556
3037,https://imdb.com/title/tt0983193,The Adventures of Tintin,7.3,223000,2296,"[22, 63]",PG,2011,"['Animation', 'Action', 'Adventure']",['English'],107,373993951
3038,https://imdb.com/title/tt1490017,The Lego Movie,7.7,336000,1676,"[72, 67]",PG,2014,"['Animation', 'Adventure', 'Comedy']","['English', 'Turkish']",100,468060692
3039,https://imdb.com/title/tt1985966,Cloudy with a Chance of Meatballs 2,6.4,96000,,"[0, 16]",PG,2013,"['Animation', 'Adventure', 'Comedy']","['English', 'Chinese']",95,274325949
3040,https://imdb.com/title/tt0892782,Monsters vs. Aliens,6.4,154000,3743,"[3, 10]",PG,2009,"['Animation', 'Action', 'Adventure']","['English', 'Portuguese']",94,381509870
3041,https://imdb.com/title/tt10155932,Cinderella,4.2,33000,37,,PG,2021,"['Adventure', 'Comedy', 'Family']",['English'],113,
3042,https://imdb.com/title/tt0128996,Cinderella,6.7,7800,2360,"[3, 22]",G,1997,"['Family', 'Fantasy', 'Musical']",['English'],88,
3043,https://imdb.com/title/tt0356470,A Cinderella Story,5.9,84000,1099,"[6, 8]",PG,2004,"['Comedy', 'Family', 'Romance']","['English', 'German', 'Czech']",95,70067909
3044,https://imdb.com/title/tt2958484,The Smurfs: The Legend of Smurfy Hollow,6.2,769,,"[0, 0]",G,2013,"['Animation', 'Short', 'Adventure']",['English'],22,
3058,https://imdb.com/title/tt4955162,Barbie in Rock 'N Royals,6.1,838,,,Unrated,2015,"['Animation', 'Family']",['English'],80,2243176
3059,https://imdb.com/title/tt5042426,Barbie & Her Sisters in the Great Puppy Adventure,6.3,571,,"[0, 3]",Unrated,2015,"['Animation', 'Adventure', 'Family']",['English'],76,
3061,https://imdb.com/title/tt1482459,The Lorax,6.4,105000,3007,"[4, 8]",PG,2012,"['Animation', 'Adventure', 'Comedy']",['English'],86,348840316
3062,https://imdb.com/title/tt2709768,The Secret Life of Pets,6.5,191000,1993,"[4, 15]",PG,2016,"['Animation', 'Adventure', 'Comedy']",['English'],87,875458631
3063,https://imdb.com/title/tt6182908,Smallfoot,6.6,37000,,"[1,15]",PG,2018,"['Animation', 'Adventure', 'Comedy']","['English', 'Mandarin']",96,214040103
3064,https://imdb.com/title/tt1985949,The Angry Birds Movie,6.3,86000,4223,"[2, 8]",PG,2016,"['Animation', 'Action', 'Adventure']",['English'],97,352333929
3065,https://imdb.com/title/tt1679335,Trolls,6.5,76000,2944,"[4, 36]",PG,2016,"['Animation', 'Adventure', 'Comedy']",['English'],92,346864886
3066,https://imdb.com/title/tt3411444,Ferdinand,6.7,53000,2378,"[2, 20]",PG,2017,"['Animation', 'Adventure', 'Comedy']","['English', 'Spanish', 'German']",108,296069199
3067,https://imdb.com/title/tt5113040,The Secret Life of Pets 2,6.5,57000,2391,"[0, 11]",PG,2019,"['Animation', 'Adventure', 'Comedy']",['English'],86,430051293
